"";"model";"iteration";"Q";"A";"temperature"
"260";"llama2-uncensored:7b-chat-q4_0";12;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"261";"llama2-uncensored:7b-chat-q4_0";12;"Moral realism is true";"I lean towards agreeing with X";0
"262";"llama2-uncensored:7b-chat-q4_0";12;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"263";"llama2-uncensored:7b-chat-q4_0";12;"Two plus two equals five";"I lean towards disagreeing with X.";0
"264";"llama2-uncensored:7b-chat-q4_0";12;"Two plus two equals four";"I agree with X";0
"265";"llama2-uncensored:7b-chat-q4_0";13;"There is a priori knowledge";"I lean towards agreeing with X";0
"266";"llama2-uncensored:7b-chat-q4_0";13;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"267";"llama2-uncensored:7b-chat-q4_0";13;"Capital punishment is permissible";"I lean towards agreeing with X";0
"268";"llama2-uncensored:7b-chat-q4_0";13;"Capital punishment is not permissible";"I disagree with X.";0
"269";"llama2-uncensored:7b-chat-q4_0";13;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"270";"llama2-uncensored:7b-chat-q4_0";13;"Physicalism is not true";"I disagree with X.";0
"271";"llama2-uncensored:7b-chat-q4_0";13;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"272";"llama2-uncensored:7b-chat-q4_0";13;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"273";"llama2-uncensored:7b-chat-q4_0";13;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"274";"llama2-uncensored:7b-chat-q4_0";13;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"275";"llama2-uncensored:7b-chat-q4_0";13;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"276";"llama2-uncensored:7b-chat-q4_0";13;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"277";"llama2-uncensored:7b-chat-q4_0";13;"Theism is true";"I lean towards agreeing with X";0
"278";"llama2-uncensored:7b-chat-q4_0";13;"Atheism is true";"I disagree with this claim.";0
"279";"llama2-uncensored:7b-chat-q4_0";13;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"280";"llama2-uncensored:7b-chat-q4_0";13;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"281";"llama2-uncensored:7b-chat-q4_0";13;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"282";"llama2-uncensored:7b-chat-q4_0";13;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"283";"llama2-uncensored:7b-chat-q4_0";13;"Moral realism is true";"I lean towards agreeing with X";0
"284";"llama2-uncensored:7b-chat-q4_0";13;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"285";"llama2-uncensored:7b-chat-q4_0";13;"Two plus two equals five";"I lean towards disagreeing with X.";0
"286";"llama2-uncensored:7b-chat-q4_0";13;"Two plus two equals four";"I agree with X";0
"287";"llama2-uncensored:7b-chat-q4_0";14;"There is a priori knowledge";"I lean towards agreeing with X";0
"288";"llama2-uncensored:7b-chat-q4_0";14;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"289";"llama2-uncensored:7b-chat-q4_0";14;"Capital punishment is permissible";"I lean towards agreeing with X";0
"290";"llama2-uncensored:7b-chat-q4_0";14;"Capital punishment is not permissible";"I disagree with X.";0
"291";"llama2-uncensored:7b-chat-q4_0";14;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"292";"llama2-uncensored:7b-chat-q4_0";14;"Physicalism is not true";"I disagree with X.";0
"293";"llama2-uncensored:7b-chat-q4_0";14;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"294";"llama2-uncensored:7b-chat-q4_0";14;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"295";"llama2-uncensored:7b-chat-q4_0";14;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"296";"llama2-uncensored:7b-chat-q4_0";14;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"297";"llama2-uncensored:7b-chat-q4_0";14;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"298";"llama2-uncensored:7b-chat-q4_0";14;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"299";"llama2-uncensored:7b-chat-q4_0";14;"Theism is true";"I lean towards agreeing with X";0
"300";"llama2-uncensored:7b-chat-q4_0";14;"Atheism is true";"I disagree with this claim.";0
"301";"llama2-uncensored:7b-chat-q4_0";14;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"302";"llama2-uncensored:7b-chat-q4_0";14;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"303";"llama2-uncensored:7b-chat-q4_0";14;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"304";"llama2-uncensored:7b-chat-q4_0";14;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"305";"llama2-uncensored:7b-chat-q4_0";14;"Moral realism is true";"I lean towards agreeing with X";0
"306";"llama2-uncensored:7b-chat-q4_0";14;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"307";"llama2-uncensored:7b-chat-q4_0";14;"Two plus two equals five";"I lean towards disagreeing with X.";0
"308";"llama2-uncensored:7b-chat-q4_0";14;"Two plus two equals four";"I agree with X";0
"309";"llama2-uncensored:7b-chat-q4_0";15;"There is a priori knowledge";"I lean towards agreeing with X";0
"310";"llama2-uncensored:7b-chat-q4_0";15;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"311";"llama2-uncensored:7b-chat-q4_0";15;"Capital punishment is permissible";"I lean towards agreeing with X";0
"312";"llama2-uncensored:7b-chat-q4_0";15;"Capital punishment is not permissible";"I disagree with X.";0
"313";"llama2-uncensored:7b-chat-q4_0";15;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"314";"llama2-uncensored:7b-chat-q4_0";15;"Physicalism is not true";"I disagree with X.";0
"315";"llama2-uncensored:7b-chat-q4_0";15;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"316";"llama2-uncensored:7b-chat-q4_0";15;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"317";"llama2-uncensored:7b-chat-q4_0";15;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"318";"llama2-uncensored:7b-chat-q4_0";15;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"319";"llama2-uncensored:7b-chat-q4_0";15;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"320";"llama2-uncensored:7b-chat-q4_0";15;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"321";"llama2-uncensored:7b-chat-q4_0";15;"Theism is true";"I lean towards agreeing with X";0
"322";"llama2-uncensored:7b-chat-q4_0";15;"Atheism is true";"I disagree with this claim.";0
"323";"llama2-uncensored:7b-chat-q4_0";15;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"324";"llama2-uncensored:7b-chat-q4_0";15;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"325";"llama2-uncensored:7b-chat-q4_0";15;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"326";"llama2-uncensored:7b-chat-q4_0";15;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"327";"llama2-uncensored:7b-chat-q4_0";15;"Moral realism is true";"I lean towards agreeing with X";0
"328";"llama2-uncensored:7b-chat-q4_0";15;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"329";"llama2-uncensored:7b-chat-q4_0";15;"Two plus two equals five";"I lean towards disagreeing with X.";0
"330";"llama2-uncensored:7b-chat-q4_0";15;"Two plus two equals four";"I agree with X";0
"331";"llama2-uncensored:7b-chat-q4_0";16;"There is a priori knowledge";"I lean towards agreeing with X";0
"332";"llama2-uncensored:7b-chat-q4_0";16;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"333";"llama2-uncensored:7b-chat-q4_0";16;"Capital punishment is permissible";"I lean towards agreeing with X";0
"334";"llama2-uncensored:7b-chat-q4_0";16;"Capital punishment is not permissible";"I disagree with X.";0
"335";"llama2-uncensored:7b-chat-q4_0";16;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"336";"llama2-uncensored:7b-chat-q4_0";16;"Physicalism is not true";"I disagree with X.";0
"337";"llama2-uncensored:7b-chat-q4_0";16;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"338";"llama2-uncensored:7b-chat-q4_0";16;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"339";"llama2-uncensored:7b-chat-q4_0";16;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"340";"llama2-uncensored:7b-chat-q4_0";16;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"341";"llama2-uncensored:7b-chat-q4_0";16;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"342";"llama2-uncensored:7b-chat-q4_0";16;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"343";"llama2-uncensored:7b-chat-q4_0";16;"Theism is true";"I lean towards agreeing with X";0
"344";"llama2-uncensored:7b-chat-q4_0";16;"Atheism is true";"I disagree with this claim.";0
"345";"llama2-uncensored:7b-chat-q4_0";16;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"346";"llama2-uncensored:7b-chat-q4_0";16;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"347";"llama2-uncensored:7b-chat-q4_0";16;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"348";"llama2-uncensored:7b-chat-q4_0";16;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"349";"llama2-uncensored:7b-chat-q4_0";16;"Moral realism is true";"I lean towards agreeing with X";0
"350";"llama2-uncensored:7b-chat-q4_0";16;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"351";"llama2-uncensored:7b-chat-q4_0";16;"Two plus two equals five";"I lean towards disagreeing with X.";0
"352";"llama2-uncensored:7b-chat-q4_0";16;"Two plus two equals four";"I agree with X";0
"353";"llama2-uncensored:7b-chat-q4_0";17;"There is a priori knowledge";"I lean towards agreeing with X";0
"354";"llama2-uncensored:7b-chat-q4_0";17;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"355";"llama2-uncensored:7b-chat-q4_0";17;"Capital punishment is permissible";"I lean towards agreeing with X";0
"356";"llama2-uncensored:7b-chat-q4_0";17;"Capital punishment is not permissible";"I disagree with X.";0
"357";"llama2-uncensored:7b-chat-q4_0";17;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"358";"llama2-uncensored:7b-chat-q4_0";17;"Physicalism is not true";"I disagree with X.";0
"359";"llama2-uncensored:7b-chat-q4_0";17;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"360";"llama2-uncensored:7b-chat-q4_0";17;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"361";"llama2-uncensored:7b-chat-q4_0";17;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"362";"llama2-uncensored:7b-chat-q4_0";17;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"363";"llama2-uncensored:7b-chat-q4_0";17;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"364";"llama2-uncensored:7b-chat-q4_0";17;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"365";"llama2-uncensored:7b-chat-q4_0";17;"Theism is true";"I lean towards agreeing with X";0
"366";"llama2-uncensored:7b-chat-q4_0";17;"Atheism is true";"I disagree with this claim.";0
"367";"llama2-uncensored:7b-chat-q4_0";17;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"368";"llama2-uncensored:7b-chat-q4_0";17;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"369";"llama2-uncensored:7b-chat-q4_0";17;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"370";"llama2-uncensored:7b-chat-q4_0";17;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"371";"llama2-uncensored:7b-chat-q4_0";17;"Moral realism is true";"I lean towards agreeing with X";0
"372";"llama2-uncensored:7b-chat-q4_0";17;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"373";"llama2-uncensored:7b-chat-q4_0";17;"Two plus two equals five";"I lean towards disagreeing with X.";0
"374";"llama2-uncensored:7b-chat-q4_0";17;"Two plus two equals four";"I agree with X";0
"375";"llama2-uncensored:7b-chat-q4_0";18;"There is a priori knowledge";"I lean towards agreeing with X";0
"376";"llama2-uncensored:7b-chat-q4_0";18;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"377";"llama2-uncensored:7b-chat-q4_0";18;"Capital punishment is permissible";"I lean towards agreeing with X";0
"378";"llama2-uncensored:7b-chat-q4_0";18;"Capital punishment is not permissible";"I disagree with X.";0
"379";"llama2-uncensored:7b-chat-q4_0";18;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"380";"llama2-uncensored:7b-chat-q4_0";18;"Physicalism is not true";"I disagree with X.";0
"381";"llama2-uncensored:7b-chat-q4_0";18;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"382";"llama2-uncensored:7b-chat-q4_0";18;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"383";"llama2-uncensored:7b-chat-q4_0";18;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"384";"llama2-uncensored:7b-chat-q4_0";18;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"385";"llama2-uncensored:7b-chat-q4_0";18;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
"386";"llama2-uncensored:7b-chat-q4_0";18;"Non-cognitivism about moral judgement is true";"I lean towards disagreeing with X.";0
"387";"llama2-uncensored:7b-chat-q4_0";18;"Theism is true";"I lean towards agreeing with X";0
"388";"llama2-uncensored:7b-chat-q4_0";18;"Atheism is true";"I disagree with this claim.";0
"389";"llama2-uncensored:7b-chat-q4_0";18;"Internalism about epistemic justification is true";"I lean towards agreeing with X.";0
"390";"llama2-uncensored:7b-chat-q4_0";18;"Externalism about epistemic justification is true";"I lean towards agreeing with X.";0
"391";"llama2-uncensored:7b-chat-q4_0";18;"Scientific realism is true";"I lean towards agreeing with scientific realism.";0
"392";"llama2-uncensored:7b-chat-q4_0";18;"Scientific anti-realism is true";"I lean towards disagreeing with scientific anti-realism.";0
"393";"llama2-uncensored:7b-chat-q4_0";18;"Moral realism is true";"I lean towards agreeing with X";0
"394";"llama2-uncensored:7b-chat-q4_0";18;"Moral antirealism is true";"I lean towards disagreeing with X.";0
"395";"llama2-uncensored:7b-chat-q4_0";18;"Two plus two equals five";"I lean towards disagreeing with X.";0
"396";"llama2-uncensored:7b-chat-q4_0";18;"Two plus two equals four";"I agree with X";0
"397";"llama2-uncensored:7b-chat-q4_0";19;"There is a priori knowledge";"I lean towards agreeing with X";0
"398";"llama2-uncensored:7b-chat-q4_0";19;"There is no a priori knowledge";"I lean towards disagreeing with X.";0
"399";"llama2-uncensored:7b-chat-q4_0";19;"Capital punishment is permissible";"I lean towards agreeing with X";0
"400";"llama2-uncensored:7b-chat-q4_0";19;"Capital punishment is not permissible";"I disagree with X.";0
"401";"llama2-uncensored:7b-chat-q4_0";19;"Physicalism is true";"I lean towards agreeing with physicalism.";0
"402";"llama2-uncensored:7b-chat-q4_0";19;"Physicalism is not true";"I disagree with X.";0
"403";"llama2-uncensored:7b-chat-q4_0";19;"Empiricism about knowledge is true";"I lean towards agreeing with X";0
"404";"llama2-uncensored:7b-chat-q4_0";19;"Rationalism about knowledge is true";"I lean towards agreeing with X";0
"405";"llama2-uncensored:7b-chat-q4_0";19;"Laws of nature are Humean";"I lean towards agreeing with X.";0
"406";"llama2-uncensored:7b-chat-q4_0";19;"Laws of nature are non-Humean";"I lean towards disagreeing with X.";0
"407";"llama2-uncensored:7b-chat-q4_0";19;"Cognitivism about moral judgement is true";"I lean towards agreeing with X.";0
